Model,MSO64B
Channel,CH1,,Channel,CH2,,Channel,REF1,,Channel,REF2
Label,,,Label,,,Label,CH1,,Label,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,349.10156250,,Zero Index,349.10156250,,Zero Index,349.11328125,,Zero Index,349.11328125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000,,yPosition,2.160000,,yPosition,2.180000

Labels,,,,Labels,CH1,,Labels,CH2
TIME,CH1,CH2,,TIME,REF1,,TIME,REF2
-2.79281250e-07,7.96875000e-03,8.82812500e-03,,-2.79290625e-07,7.03124981e-03,,-2.79290625e-07,9.99999978e-03
-2.78481250e-07,2.50000000e-03,1.81250000e-02,,-2.78490625e-07,9.78124980e-03,,-2.78490625e-07,1.13281254e-02
-2.77681250e-07,5.62500000e-04,1.31250000e-02,,-2.77690625e-07,6.75000018e-03,,-2.77690625e-07,1.02343746e-02
-2.76881250e-07,7.81250000e-03,9.37500000e-03,,-2.76890625e-07,2.00000009e-03,,-2.76890625e-07,1.27343750e-02
-2.76081250e-07,8.50000000e-03,1.59375000e-02,,-2.76090625e-07,2.34375009e-03,,-2.76090625e-07,1.00781247e-02
-2.75281250e-07,4.15625000e-03,7.18750000e-03,,-2.75290625e-07,7.40625011e-03,,-2.75290625e-07,1.47656249e-02
-2.74481250e-07,5.34375000e-03,8.82812500e-03,,-2.74490625e-07,5.75000001e-03,,-2.74490625e-07,1.05468752e-02
-2.73681250e-07,5.34375000e-03,1.33593750e-02,,-2.73690625e-07,6.59374986e-03,,-2.73690625e-07,6.09374978e-03
-2.72881250e-07,5.93750000e-04,1.91406250e-02,,-2.72890625e-07,6.46875007e-03,,-2.72890625e-07,1.35156251e-02
-2.72081250e-07,9.43750000e-03,3.82812500e-03,,-2.72090625e-07,4.40625008e-03,,-2.72090625e-07,1.64843742e-02
-2.71281250e-07,2.06250000e-03,1.55468750e-02,,-2.71290625e-07,5.43749984e-03,,-2.71290625e-07,6.56249980e-03
-2.70481250e-07,6.00000000e-03,7.65625000e-03,,-2.70490625e-07,6.56249991e-04,,-2.70490625e-07,1.53906252e-02
-2.69681250e-07,3.43750000e-04,-3.90625000e-04,,-2.69690625e-07,4.09374991e-03,,-2.69690625e-07,7.10937520e-03
-2.68881250e-07,8.25000000e-03,1.62500000e-02,,-2.68890625e-07,4.09374991e-03,,-2.68890625e-07,6.87499996e-03
-2.68081250e-07,3.43750000e-04,6.48437500e-03,,-2.68090625e-07,1.00624999e-02,,-2.68090625e-07,1.06250001e-02
-2.67281250e-07,2.78125000e-03,1.09375000e-02,,-2.67290625e-07,8.12500017e-04,,-2.67290625e-07,3.35937506e-03
-2.66481250e-07,5.00000000e-03,8.59375000e-03,,-2.66490625e-07,1.02187498e-02,,-2.66490625e-07,8.90624989e-03
-2.65681250e-07,6.93750000e-03,5.54687500e-03,,-2.65690625e-07,9.49999969e-03,,-2.65690625e-07,-4.68749990e-04
-2.64881250e-07,1.18750000e-03,1.47656250e-02,,-2.64890625e-07,8.81250016e-03,,-2.64890625e-07,1.32031254e-02
-2.64081250e-07,9.09375000e-03,5.93750000e-03,,-2.64090625e-07,1.09375000e-03,,-2.64090625e-07,1.78906247e-02
-2.63281250e-07,4.62500000e-03,1.61718750e-02,,-2.63290625e-07,1.25000002e-02,,-2.63290625e-07,1.12500004e-02
-2.62481250e-07,5.71875000e-03,5.15625000e-03,,-2.62490625e-07,4.09374991e-03,,-2.62490625e-07,7.42187491e-03
-2.61681250e-07,1.37500000e-03,1.22656250e-02,,-2.61690625e-07,5.31250006e-03,,-2.61690625e-07,1.60937496e-02
-2.60881250e-07,9.15625000e-03,9.92187500e-03,,-2.60890625e-07,6.12499984e-03,,-2.60890625e-07,9.14062466e-03
-2.60081250e-07,4.53125000e-03,1.67187500e-02,,-2.60090625e-07,9.09375027e-03,,-2.60090625e-07,1.14843752e-02
