Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.50781250,,Zero Index,349.50781250
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79606250e-07,5.84375000e-03,2.78125000e-02
-2.78806250e-07,7.96875000e-03,1.53125000e-02
-2.78006250e-07,9.31250000e-03,1.88281250e-02
-2.77206250e-07,5.43750000e-03,2.66406250e-02
-2.76406250e-07,8.21875000e-03,9.21875000e-03
-2.75606250e-07,8.15625000e-03,1.78125000e-02
-2.74806250e-07,8.06250000e-03,1.39062500e-02
-2.74006250e-07,8.06250000e-03,6.56250000e-03
-2.73206250e-07,1.21875000e-02,2.70312500e-02
-2.72406250e-07,2.65625000e-03,1.39843750e-02
-2.71606250e-07,8.96875000e-03,1.70312500e-02
-2.70806250e-07,9.09375000e-03,1.62500000e-02
-2.70006250e-07,7.18750000e-03,1.89062500e-02
-2.69206250e-07,4.31250000e-03,1.29687500e-02
-2.68406250e-07,1.19375000e-02,1.82812500e-02
-2.67606250e-07,4.96875000e-03,1.68750000e-02
-2.66806250e-07,6.12500000e-03,1.81250000e-02
-2.66006250e-07,5.37500000e-03,5.00000000e-03
-2.65206250e-07,1.24687500e-02,2.25781250e-02
-2.64406250e-07,3.03125000e-03,1.26562500e-02
-2.63606250e-07,6.59375000e-03,1.71875000e-02
-2.62806250e-07,4.06250000e-03,1.80468750e-02
-2.62006250e-07,9.06250000e-03,1.29687500e-02
-2.61206250e-07,8.53125000e-03,1.30468750e-02
-2.60406250e-07,8.53125000e-03,1.84375000e-02
-2.59606250e-07,6.96875000e-03,1.60937500e-02
-2.58806250e-07,8.12500000e-03,9.76562500e-03
-2.58006250e-07,1.18437500e-02,1.64062500e-02
-2.57206250e-07,8.18750000e-03,1.77343750e-02
-2.56406250e-07,6.34375000e-03,2.28125000e-02
-2.55606250e-07,1.09062500e-02,1.02343750e-02
-2.54806250e-07,9.00000000e-03,2.50781250e-02
-2.54006250e-07,7.40625000e-03,1.92968750e-02
-2.53206250e-07,1.16250000e-02,2.02343750e-02
-2.52406250e-07,7.56250000e-03,1.67187500e-02
-2.51606250e-07,6.65625000e-03,1.82812500e-02
-2.50806250e-07,6.93750000e-03,2.07812500e-02
-2.50006250e-07,8.62500000e-03,2.27343750e-02
-2.49206250e-07,8.62500000e-03,2.06250000e-02
-2.48406250e-07,5.15625000e-03,1.81250000e-02
-2.47606250e-07,9.25000000e-03,2.00000000e-02
-2.46806250e-07,2.18750000e-04,1.67187500e-02
