Model,MSO64B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000
Zero Index,349.22265625,,Zero Index,349.22265625
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000

Labels,,
TIME,CH1,CH2
-2.79378125e-07,1.00625000e-02,1.81250000e-02
-2.78578125e-07,3.37500000e-03,1.69531250e-02
-2.77778125e-07,1.08125000e-02,8.51562500e-03
-2.76978125e-07,9.25000000e-03,1.21093750e-02
-2.76178125e-07,1.41875000e-02,2.31250000e-02
-2.75378125e-07,4.96875000e-03,1.56250000e-02
-2.74578125e-07,9.90625000e-03,1.77343750e-02
-2.73778125e-07,7.46875000e-03,1.09375000e-02
-2.72978125e-07,6.68750000e-03,1.25781250e-02
-2.72178125e-07,1.40625000e-03,9.76562500e-03
-2.71378125e-07,1.29375000e-02,1.46093750e-02
-2.70578125e-07,4.43750000e-03,1.36718750e-02
-2.69778125e-07,1.11562500e-02,1.06250000e-02
-2.68978125e-07,5.68750000e-03,1.58593750e-02
-2.68178125e-07,8.43750000e-03,1.71093750e-02
-2.67378125e-07,8.34375000e-03,1.29687500e-02
-2.66578125e-07,9.43750000e-03,5.93750000e-03
-2.65778125e-07,3.53125000e-03,1.92968750e-02
-2.64978125e-07,1.16875000e-02,1.50000000e-02
-2.64178125e-07,5.59375000e-03,1.31250000e-02
-2.63378125e-07,7.21875000e-03,1.25000000e-02
-2.62578125e-07,8.43750000e-03,1.44531250e-02
-2.61778125e-07,6.21875000e-03,9.21875000e-03
-2.60978125e-07,1.10625000e-02,1.85156250e-02
-2.60178125e-07,5.59375000e-03,8.98437500e-03
-2.59378125e-07,9.43750000e-03,1.26562500e-02
-2.58578125e-07,7.31250000e-03,5.85937500e-03
-2.57778125e-07,3.81250000e-03,2.27343750e-02
-2.56978125e-07,9.87500000e-03,9.53125000e-03
-2.56178125e-07,7.87500000e-03,1.74218750e-02
-2.55378125e-07,1.00000000e-02,1.48437500e-02
-2.54578125e-07,8.12500000e-03,1.45312500e-02
-2.53778125e-07,8.50000000e-03,1.03125000e-02
-2.52978125e-07,2.62500000e-03,1.07031250e-02
-2.52178125e-07,1.02812500e-02,1.57031250e-02
-2.51378125e-07,8.59375000e-03,1.06250000e-02
-2.50578125e-07,9.15625000e-03,2.16406250e-02
-2.49778125e-07,5.43750000e-03,2.42187500e-03
-2.48978125e-07,7.87500000e-03,2.34375000e-02
-2.48178125e-07,4.46875000e-03,1.34375000e-02
